access_url,preview_url,dp_type,dp_subtype,ins_id,observatory,mjd_obs,obs_date,texptime,spec_range,spec_res,filter,prog_id,pi,p3_user,data_collection,obj,fov,publ_date,footprint,ra,dec,dp_id,number_obs,data_release_date,dataset_id,file_size,spatial_resolution,snr,gal_ra,gal_dec,sqdeg,pixelscale,abmaglim,sensitivity,strehl,calib_level,exp_end,mjd_end,exptime,obs_title,tel_id,obstech,obs_id,p3orig,origfile,group_version,data_release,visible,some_bool
http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:05:09.537,,SPECTRUM,SPECTRUM,HARPS,La Silla Paranal APEX,54936.17050837,2009-04-15T04:05:31.923,10.0,"[gte:378.164, lte:691.315]",115000.0,,["083.C-1001"],"["PEPE, FRANCESCO"]","ESO, PHASE3",HARPS,HD128621,,2014-09-23T00:00:00.000,POSITION J2000 219.87906 -60.83436,219.87906,-60.83436,ADP.2014-09-23T11:05:09.537,1,2013-04-01T00:00:00.000,563150,5261,,286.6,315.723833,-0.675534,,,,,,2,2009-04-15T04:05:41.923,54936.17062411,10.0,HD128621_HARPS.2009-04-15T04:05:31.923_s1d_A,ESO-3.6,ECHELLE,["17"],IDP,HARPS.2009-04-15T04:05:31.923_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,,,true
http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:42:27.757,,SPECTRUM,SPECTRUM,HARPS,La Silla Paranal APEX,55290.15344228,2010-04-04T03:40:57.413,10.0,"[gte:378.171, lte:691.324]",115000.0,,["085.C-0318"],"["PEPE, FRANCESCO"]","ESO, PHASE3",HARPS,HD128621,,2014-09-25T00:00:00.000,POSITION J2000 219.87919 -60.83271,219.87919,-60.83271,ADP.2014-09-24T09:42:27.757,1,2013-04-01T00:00:00.000,579026,5261,,270.7,315.724559,-0.674051,,,,,,2,2010-04-04T03:41:07.413,55290.15355803,10.0,HD128621_HARPS.2010-04-04T03:40:57.413_s1d_A,ESO-3.6,ECHELLE,["15"],IDP,HARPS.2010-04-04T03:40:57.413_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,,,true
http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:04:31.813,,SPECTRUM,SPECTRUM,HARPS,La Silla Paranal APEX,54914.26445858,2009-03-24T06:20:49.220,10.0,"[gte:378.174, lte:691.329]",115000.0,,["082.C-0315"],"["PEPE, FRANCESCO"]","ESO, PHASE3",HARPS,HD128621,,2014-09-23T00:00:00.000,POSITION J2000 219.87912 -60.83489,219.87912,-60.83489,ADP.2014-09-23T11:04:31.813,1,2010-03-24T06:20:49.220,552075,5261,,310.6,315.723646,-0.676031,,,,,,2,2009-03-24T06:20:59.220,54914.26457432,10.0,HD128621_HARPS.2009-03-24T06:20:49.221_s1d_A,ESO-3.6,ECHELLE,["22"],IDP,HARPS.2009-03-24T06:20:49.221_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,,,true
http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:03:00.583,,SPECTRUM,SPECTRUM,HARPS,La Silla Paranal APEX,54950.21901624,2009-04-29T05:15:23.003,10.0,"[gte:378.158, lte:691.304]",115000.0,,["083.C-1001"],"["PEPE, FRANCESCO"]","ESO, PHASE3",HARPS,HD128621,,2014-09-23T00:00:00.000,POSITION J2000 219.87917 -60.83517,219.87917,-60.83517,ADP.2014-09-23T11:03:00.583,1,2013-04-01T00:00:00.000,557627,5261,,278.8,315.723555,-0.676297,,,,,,2,2009-04-29T05:15:33.003,54950.21913198,10.0,HD128621_HARPS.2009-04-29T05:15:23.003_s1d_A,ESO-3.6,ECHELLE,["21"],IDP,HARPS.2009-04-29T05:15:23.003_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,,,true
http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:03:28.403,,SPECTRUM,SPECTRUM,HARPS,La Silla Paranal APEX,55039.06610567,2009-07-27T01:35:11.530,10.0,"[gte:378.124, lte:691.241]",115000.0,,["083.C-1001"],"["PEPE, FRANCESCO"]","ESO, PHASE3",HARPS,HD128621,,2014-09-23T00:00:00.000,POSITION J2000 219.87914 -60.83506,219.87914,-60.83506,ADP.2014-09-23T11:03:28.403,1,2013-04-01T00:00:00.000,554839,5261,,290.8,315.723586,-0.67619,,,,,,2,2009-07-27T01:35:21.530,55039.06622141,10.0,HD128621_HARPS.2009-07-27T01:35:11.530_s1d_A,ESO-3.6,ECHELLE,["9"],IDP,HARPS.2009-07-27T01:35:11.530_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,,,true
http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:30.277,,SPECTRUM,SPECTRUM,HARPS,La Silla Paranal APEX,55280.32805568,2010-03-25T07:52:24.010,10.0,"[gte:378.175, lte:691.329]",115000.0,,["084.C-0229"],"["PEPE, FRANCESCO"]","ESO, PHASE3",HARPS,HD128621,,2014-09-25T00:00:00.000,POSITION J2000 219.87913 -60.83502,219.87913,-60.83502,ADP.2014-09-24T09:41:30.277,1,2013-04-01T00:00:00.000,581586,5261,,300.2,315.723598,-0.676152,,,,,,2,2010-03-25T07:52:34.010,55280.32817142,10.0,HD128621_HARPS.2010-03-25T07:52:24.011_s1d_A,ESO-3.6,ECHELLE,["20"],IDP,HARPS.2010-03-25T07:52:24.011_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,,,true
http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:03:28.470,,SPECTRUM,SPECTRUM,HARPS,La Silla Paranal APEX,55040.97948543,2009-07-28T23:30:27.540,10.0,"[gte:378.126, lte:691.24]",115000.0,,["083.C-1001"],"["PEPE, FRANCESCO"]","ESO, PHASE3",HARPS,HD128621,,2014-09-23T00:00:00.000,POSITION J2000 219.87912 -60.83499,219.87912,-60.83499,ADP.2014-09-23T11:03:28.470,1,2013-04-01T00:00:00.000,569921,5261,,348.8,315.723605,-0.676122,,,,,,2,2009-07-28T23:30:37.543,55040.97960118,10.0,HD128621_HARPS.2009-07-28T23:30:27.541_s1d_A,ESO-3.6,ECHELLE,["2"],IDP,HARPS.2009-07-28T23:30:27.541_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,,,true
http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:01:33.080,,SPECTRUM,SPECTRUM,HARPS,La Silla Paranal APEX,55040.03687143,2009-07-28T00:53:05.693,10.0,"[gte:378.125, lte:691.241]",115000.0,,["083.C-1001"],"["PEPE, FRANCESCO"]","ESO, PHASE3",HARPS,HD128621,,2014-09-23T00:00:00.000,POSITION J2000 219.87915 -60.83516,219.87915,-60.83516,ADP.2014-09-23T11:01:33.080,1,2013-04-01T00:00:00.000,552994,5261,,330.4,315.72355,-0.676283,,,,,,2,2009-07-28T00:53:15.693,55040.03698718,10.0,HD128621_HARPS.2009-07-28T00:53:05.692_s1d_A,ESO-3.6,ECHELLE,["9"],IDP,HARPS.2009-07-28T00:53:05.692_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,,,true
http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:00:36.577,,SPECTRUM,SPECTRUM,HARPS,La Silla Paranal APEX,55038.07099426,2009-07-26T01:42:13.903,10.0,"[gte:378.121, lte:691.241]",115000.0,,["083.C-1001"],"["PEPE, FRANCESCO"]","ESO, PHASE3",HARPS,HD128621,,2014-09-23T00:00:00.000,POSITION J2000 219.87913 -60.83508,219.87913,-60.83508,ADP.2014-09-23T11:00:36.577,1,2013-04-01T00:00:00.000,560757,5261,,285.4,315.723574,-0.676206,,,,,,2,2009-07-26T01:42:23.907,55038.07111001,10.0,HD128621_HARPS.2009-07-26T01:42:13.904_s1d_A,ESO-3.6,ECHELLE,["9"],IDP,HARPS.2009-07-26T01:42:13.904_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,,,true
http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:03:39.003,,SPECTRUM,SPECTRUM,HARPS,La Silla Paranal APEX,54914.2678472,2009-03-24T06:25:41.997,10.0,"[gte:378.174, lte:691.329]",115000.0,,["082.C-0315"],"["PEPE, FRANCESCO"]","ESO, PHASE3",HARPS,HD128621,,2014-09-23T00:00:00.000,POSITION J2000 219.87909 -60.83487,219.87909,-60.83487,ADP.2014-09-23T11:03:39.003,1,2010-03-24T06:25:41.997,567260,5261,,307.3,315.723641,-0.676006,,,,,,2,2009-03-24T06:25:51.997,54914.26796294,10.0,HD128621_HARPS.2009-03-24T06:25:41.998_s1d_A,ESO-3.6,ECHELLE,["22"],IDP,HARPS.2009-03-24T06:25:41.998_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,,,true
